condado,numero_sectores,poblacion_total
Overton,7,22083
Owen,8,32416
Owsley,2,4755
Owyhee,3,11526
Oxford,17,57833
Ozark,2,9723
Ozaukee,18,86395
Pacific,8,20920
Page,11,39974
Palm Beach,337,1320134
Palo Alto,4,9421
Palo Pinto,9,28111
Pamlico,4,13144
Panola,12,58503
Park,16,60047
Parke,4,17339
Parker,19,116927
Parmer,2,10269
Pasco,134,464697
Pasquotank,10,40661
Passaic,100,501226
Patrick,4,18490
Paulding,24,161938
Pawnee,8,26323
Payette,4,22623
Payne,17,77350
Peach,6,27695
Pearl River,9,55834
Pecos,4,15507
Pembina,5,7413
Pemiscot,6,18296
Pend Oreille,5,13001
Pender,16,52217
Pendleton,6,22572
Pennington,28,114878
Penobscot,46,153923
Peoria,48,186494
Pepin,2,7469
Perkins,2,5952
Perquimans,3,13453
Perry,51,212599
Pershing,1,6753
Person,7,39464
Petersburg,12,36235
Petroleum,1,494
Pettis,11,42201
Phelps,13,54344
Philadelphia,384,1526006
Phillips,12,36094
Piatt,4,16729
Pickaway,13,55698
Pickens,39,168401
Pickett,1,5077
Pierce,188,866625
Pike,80,301356
Pima,241,980263
Pinal,75,375770
Pine,8,29750
Pinellas,245,916542
Pipestone,5,9596
Piscataquis,8,17535
Pitkin,4,17148
Pitt,32,168148
Pittsburg,13,45837
Pittsylvania,16,63506
Piute,1,1556
Placer,85,348432
Plaquemines,9,23042
Platte,29,130226
Pleasants,2,7605
Plumas,7,20007
Plymouth,106,519905
Pocahontas,7,16029
Poinsett,7,24583
Pointe Coupee,6,22802
Polk,325,1365371
Pondera,2,6153
Pontotoc,16,67449
Pope,17,77219
Poquoson,3,12150
Portage,49,231438
Porter,32,164343
Portsmouth,31,95535
Posey,7,25910
Pottawatomie,20,91046
Pottawattamie,30,93158
Potter,40,140859
Powder River,1,1743
Powell,4,19640
Power,2,7817
Poweshiek,5,18914
Powhatan,5,28046
Prairie,4,9894
Pratt,3,9656
Preble,12,42270
